;title;description;release_year;age_certification;runtime;genres;production_countries;imdb_score;imdb_votes
1034;Ferdinand;"Ferdinand, a little bull, prefers sitting quietly under a cork tree just smelling the flowers versus jumping around, snorting, and butting heads with other bulls. As Ferdinand grows big and strong, his temperament remains mellow, but one day five men come to choose the ""biggest, fastest, roughest bull"" for the bullfights in Madrid and Ferdinand is mistakenly chosen.  Based on the classic 1936 children's book by Munro Leaf.";2017;PG;115;['comedy', 'drama', 'family', 'fantasy', 'animation'];['ES', 'US'];6.7;55723.0
1037;Mary Poppins Returns;Mary Poppins returns to the Banks family and helps them evade grave dangers by taking them on magical, musical adventures.;2018;PG;131;['fantasy', 'comedy', 'family', 'animation'];['US'];6.7;85576.0
1038;Star Wars: The Last Jedi;Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order.;2017;PG-13;152;['scifi', 'action', 'fantasy'];['US'];6.9;611383.0
1039;Beauty and the Beast;A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.;2017;PG;129;['fantasy', 'family', 'romance'];['US'];7.1;300873.0
1043;Ralph Breaks the Internet;Video game bad guy Ralph and fellow misfit Vanellope von Schweetz must risk it all by traveling to the World Wide Web in search of a replacement part to save Vanellope's video game, Sugar Rush. In way over their heads, Ralph and Vanellope rely on the citizens of the internet — the netizens — to help navigate their way, including an entrepreneur named Yesss, who is the head algorithm and the heart and soul of trend-making site BuzzzTube.;2018;PG;113;['comedy', 'thriller', 'drama', 'animation', 'family', 'fantasy', 'scifi'];['US'];7.0;151237.0
1044;A Wrinkle in Time;After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him.;2018;PG;109;['fantasy', 'scifi', 'family'];['US'];4.2;44227.0
1049;Newsies;The rousing tale of Jack Kelly, a charismatic newsboy and leader of a ragged band of teenaged 'newsies,' who dreams only of a better life far from the hardship of the streets. When publishing titans raise distribution prices at the newsboys' expense, Jack finds a cause to fight for and rallies newsies from across the city to strike and take a stand for what's right.;2017;PG;134;['drama', 'music'];['US'];8.4;2878.0
1051;Cars 3;Blindsided by a new generation of blazing-fast racers, the legendary Lightning McQueen is suddenly pushed out of the sport he loves. To get back in the game, he will need the help of an eager young race technician with her own plan to win, inspiration from the late Fabulous Hudson Hornet, and a few unexpected turns. Proving that #95 isn't through yet will test the heart of a champion on Piston Cup Racing’s biggest stage!;2017;G;102;['comedy', 'family', 'animation', 'action', 'sport', 'fantasy', 'drama'];['US'];6.7;93446.0
1055;Jane;Drawing from never-before-seen footage that has been tucked away in the National Geographic archives, director Brett Morgen tells the story of Jane Goodall, a woman whose chimpanzee research revolutionized our understanding of the natural world.;2017;PG;90;['documentation'];['US'];7.8;5041.0
1056;Life-Size 2;Grace Manning is in the middle of her quarter-life crisis, realizing she is in over her head as CEO. To make matters worse, her wild-child ways are causing the company’s stock to plummet. With the help of her young next-door neighbor, Grace’s old Eve doll magically awakens to help get Grace back on track and give her the confidence to be the woman and leader Eve knows Grace can be.;2018;Unknown;81;['fantasy', 'comedy'];['US'];4.6;965.0
1057;Diary of a Wimpy Kid: The Long Haul;A Heffley family road trip to attend Meemaw's 90th birthday party goes hilariously off course thanks to Greg's newest scheme to get to a video gaming convention.;2017;PG;91;['family', 'comedy', 'animation'];['US'];4.3;8792.0
1062;Bao;An aging Chinese mom suffering from empty nest syndrome gets another chance at motherhood when one of her dumplings springs to life as a lively, giggly dumpling boy.;2018;G;8;['fantasy'];['US', 'CA'];Unknown;Unknown
1063;The Nutcracker and the Four Realms;When Clara’s mother leaves her a mysterious gift, she embarks on a journey to four secret realms—where she discovers her greatest strength could change the world.;2018;PG;99;['fantasy', 'family'];['US'];5.5;32865.0
1064;Ghost of the Mountains;Disneynature's international team of filmmakers travel to the mountains of China to find and film the elusive snow leopard on the highest plateau on Earth, while enduring brutal weather and unsettled terrain.;2017;G;78;['documentation'];['US'];7.0;278.0
1065;Titanic: 20 Years Later with James Cameron;"For the 20th anniversary of ""Titanic,"" James Cameron reopens the file on the disaster.";2017;PG;47;['documentation'];['US'];7.1;685.0
1066;Expedition China;Expedition China invites you on location in some of the world's most intense, hard-to-reach environments with the filmmakers of Disneynature's big-screen adventure Born in China.;2017;G;78;['documentation'];['US'];6.7;153.0
1067;Science Fair;Filmmakers follow nine high school students from around the globe as they compete at an international science fair. Facing off against 1,700 of the smartest teens from 78 countries, only one will be named Best in Fair.;2018;PG;90;['documentation', 'action', 'scifi'];['US'];7.6;584.0
1069;Z-O-M-B-I-E-S;Two star-crossed freshmen – a zombie, Zed and a cheerleader, Addison – each outsiders in their unique ways, befriend each other and work together to show their high school and the Seabrook community what they can achieve when they embrace their differences.;2018;G;94;['fantasy', 'family', 'romance'];['US'];6.2;4941.0
1074;Freaky Friday;When an overworked mother and her teenage daughter magically swap bodies, they have just one day to put things right again before mom’s big wedding.;2018;G;90;['comedy', 'fantasy'];['US'];3.8;1390.0
1077;Step;The senior year of a girls’ high school step team in inner-city Baltimore is documented, as they try to become the first in their families to attend college. The girls strive to make their dancing a success against the backdrop of social unrest in their troubled city.;2017;PG;83;['documentation', 'drama'];['US'];7.0;912.0
1078;Team Thor: Part 2;"A continuation of the documentary spoof of what Thor and his roommate Darryl were up to during the events of ""Captain America: Civil War"". While Cap and Iron Man duke it out, Thor tries to pay Darryl his rent in Asgardian coins.";2017;PG;5;['fantasy'];['US'];Unknown;Unknown
1081;Descendants 2;When the pressure to be royal becomes too much for Mal, she returns to the Isle of the Lost where her archenemy Uma, Ursula's daughter, has taken her spot as self-proclaimed queen.;2017;G;111;['fantasy', 'action', 'family', 'romance'];['US'];7.5;339.0
1083;Olaf's Frozen Adventure;Olaf is on a mission to harness the best holiday traditions for Anna, Elsa, and Kristoff.;2017;G;22;['fantasy', 'comedy'];['US'];Unknown;Unknown
1084;Breaking2;After six months of scientifically advanced training, three of the world's most elite distance runners set out to break the two-hour marathon barrier. These pioneers go on a global trek to defy the unthinkable and break the two-hour feat, from testing in wind tunnels and running labs in the United States, to balancing training with their day-to- day lives in eastern Africa, to the final heart-pounding race in Italy.;2017;PG;55;['documentation', 'reality'];['US'];7.3;387.0
1087;Team Darryl;"Fresh off being unseated as the ruler of Sakaar, the Grandmaster makes his way to Earth to start a new life. It's been over a year since Thor left Australia and Darryl has been struggling to pay his rent. Now Darryl needs a new roommate to help make the monthly payments. Unfortunately for Darryl, the Grandmaster was the only one who answered Darryl's ""Roommate Needed"" ad and with no viable options, the Grandmaster moves in.";2018;PG;6;['comedy'];['US'];Unknown;Unknown
1089;Marvel Rising: Secret Warriors;When a threat no one could have expected bears down on the Marvel Universe, this ragtag, untrained band of teens have no choice but to rise together and prove to the world that sometimes the difference between a 'hero' and 'misfit' is just in the name.;2018;Unknown;80;['animation', 'action', 'scifi', 'fantasy', 'comedy'];['US'];5.3;1263.0
1090;MARS: Inside SpaceX;The inside story of SpaceX's plan to get humanity to Mars, providing an unprecedented glimpse into one of the world's most revolutionary companies. A behind-the-scenes journey with Elon Musk and his engineers as they persevere amidst both disheartening setbacks and huge triumphs to advance the space industry faster than we ever thought possible.;2018;PG;46;['documentation'];['US'];7.4;818.0
1091;Gender Revolution: A Journey with Katie Couric;Katie Couric travels across the U.S. to talk with scientists, psychologists, activists, authors and families about the complex issue of gender.;2017;PG;90;['documentation'];['US'];5.8;366.0
1092;Drain Alcatraz;Drain Alcatraz uses cutting edge visual effects to 'drain' the waters around the notorious island of Alcatraz. With the waters drained away the secrets of Alcatraz are revealed, including exactly why the island's infamous prison was so inescapable.;2017;Unknown;45;['documentation'];['US'];6.0;190.0
1095;Under the Sea: A Descendants Story;Mal emerges from the shadows of a mystical forest onto a dark coastline where she crosses paths with Dizzy.;2018;Unknown;10;['fantasy'];['US'];5.3;370.0
1096;Tangled: Before Ever After;Rapunzel grapples with the responsibilities of being a princess and the overprotective ways of her father. While she wholeheartedly loves Eugene, Rapunzel does not share his immediate desire to get married and settle down within the castle walls. Determined to live life on her own terms, she and her tough-as-nails Lady-in-Waiting Cassandra embark on a secret adventure where they encounter mystical rocks that magically cause Rapunzel's long blonde hair to grow back. Impossible to break and difficult to hide, Rapunzel must learn to embrace her hair and all that it represents.;2017;G;55;['comedy', 'fantasy', 'action', 'family', 'animation'];['US'];6.6;2597.0
1097;Howard;Though legendary lyricist Howard Ashman died far too young, his impact on Broadway, movies, and the culture at large were incalculable. Told entirely through rare archival footage and interviews with Ashman’s family, friends, associates, and longtime partner Bill Lauch, Howard is an intimate tribute to a once-in-a-generation talent and a rousing celebration of musical storytelling itself.;2018;Unknown;93;['documentation', 'music'];['US'];7.6;1091.0
1098;Atlantis Rising;James Cameron and Simcha Jacobovici go on an adventure to find the lost city of Atlantis by using Greek philosopher Plato as a virtual treasure map.;2017;Unknown;93;['thriller', 'documentation', 'action'];['CA'];6.5;515.0
1100;Lou;A Pixar short about a lost-and-found box and the unseen monster within.;2017;G;7;['fantasy', 'animation'];['US'];Unknown;Unknown
1101;Stuntman;This documentary follows legendary stuntman Eddie Braun as he attempts one of the most dangerous stunts in history. Contemplating retirement and having survived over three decades of hellacious car crashes, explosions, high falls, and death-defying leaps, Eddie decides to complete what his childhood hero never finished -- the infamous Snake River Canyon rocket jump -- an audacious televised event that almost killed the man that inspired Eddie to become a stuntman, Evel Knievel.;2018;PG-13;87;['documentation'];['US'];6.7;354.0
1102;Into the Okavango;A passionate conservation biologist brings together a river bushman fearful of losing his past and a young scientist uncertain of her future on an epic, four-month expedition across three countries, through unexplored and dangerous landscapes, in order to save the Okavango Delta, one of our planet's last pristine wildernesses.;2018;PG;94;['documentation'];['US'];7.6;425.0
1108;Secrets Of Christ's Tomb;We follow leading experts on a quest to unlock the mysteries surrounding the tomb of Christ, using the latest scientific techniques to restore the Aedicula housing the tomb.;2017;Unknown;46;['documentation', 'history'];[];6.3;153.0
1109;Mission to the Sun;A look at NASA's Parker Solar Probe, which launched its mission to explore the sun in August 2018.;2018;PG;44;['documentation'];['US'];6.6;181.0
1111;Disney Illuminations Firework Show Disneyland Paris;"For this magical pre-recorded viewing of the Disneyland® Paris classic, “Disney Illuminations"" you’re front and center for the amazing special effects and fireworks at Sleeping Beauty Castle. Prepare to hold your breath and “ahhhh” as the show recreates iconic Disney moments in ways you never thought possible!";2017;Unknown;19;['music'];['FR'];Unknown;Unknown
1112;Drain The Sunken Pirate City;"Explore the ruins of Port Royal, once a flourishing pirate city, known for extravagance, women and liquor. The city which went by the sobriquet ""wickedest city on earth"", lies in shambles deep below the waters of Jamaica's Kingston Harbor after a devastating tsunami struck it on June 7, 1692";2017;Unknown;47;['history', 'documentation'];['GB'];6.3;106.0
1113;Paris to Pittsburgh;As the weather grows more deadly and destructive, Americans are demanding solutions to climate change — and they aren’t waiting on Washington to act.;2018;Unknown;77;['documentation'];['US'];6.5;141.0
1114;700 Sharks;Imagine diving into the ocean only to discover that you are surrounded by one of the largest shark frenzies on the planet. Well, that is exactly what these researchers did in the name of science. In Polynesia, the largest school of sharks — about 700 — patrols the waters en masse. Follow an international team of scientists as they study these magnificent creatures at night, when they are most aggressive, to discover their mysterious hunting strategies and social behaviours. The result: incredible new behaviours never seen before, or caught on camera.;2018;Unknown;92;['documentation'];['FR'];6.9;101.0
1115;The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular;Mickey is challenged by his nephews to tell a scary story on Halloween night, but his stories are mostly fun and silly, until he is finally pushed to tell a truly terrifying tale.;2017;PG;22;['horror'];[];Unknown;Unknown
1116;Auntie Edna;Taking place during the events of Incredibles 2, Edna Mode babysits Jack-Jack.;2018;Unknown;5;['scifi'];['US'];Unknown;Unknown
1120;Sea of Hope: America's Underwater Treasures;Follow ocean legend Sylvia Earle, renowned underwater National Geographic photographer Brian Skerry, writer Max Kennedy and their crew of teenage aquanauts on a year-long quest to deploy science and photography to inspire President Obama to establish new Blue Parks to protect essential habitats across an unseen American Wilderness.;2017;Unknown;47;['documentation'];['US'];7.8;44.0
1121;Giants of the Deep Blue;Pre-historic giants roam the world's oceans. Go beneath the surface of the sea for an extraordinary look & listen at these majestic creatures, as we explore their social behavior & hunting strategies.;2017;PG;47;['documentation'];[];Unknown;Unknown
1122;Planet of the Birds;From the North Pole to remote islands, birds can live almost anywhere. How do these resilient animals thrive in such different environments? They have become hardy and versatile through their bodies, feathers, movements, and songs. In this global birding tour, we learn about these nomads of the sky.;2018;Unknown;44;['documentation'];['US'];Unknown;Unknown
1128;The Flood;Surrounded by the unforgiving Kalahari Desert, the Okavango Delta is a lush, vibrant oasis that pulses with life each year as the great flood rejuvenates the land with the return of water. Witness how incredible animals – like leopards, elephants, lions, hippos and more – adapt to this unpredictable and changing landscape. When the lands are flooded, the Okavango Delta is both a sanctuary and a trap, giving and taking life in equal measure. Then, like a living, breathing ecosystem, the waters soon recede and life becomes about one thing – survival. The fate of the tens of thousands of animals that live in this place of spectacular natural drama is at stake.;2018;PG;88;['documentation'];['US'];7.6;173.0
1131;Man Among Cheetahs;Wildlife filmmaker Bob Poole follows a mother cheetah named Naborr who is determined to keep her two cubs alive.;2017;PG;44;['documentation'];['US'];6.8;61.0
1134;Decorating Disney: Holiday Magic;"Academy Award-Winning Actress and ""The View"" Co-Host Whoopi Goldberg Reveals Disney Holiday Secrets in Freeform's ""Decorating Disney: Holiday Magic"".";2017;PG;58;['documentation', 'music', 'reality'];['US'];6.7;125.0
1135;Big Sharks Rule;"It’s an ocean of giants. South Africa has a dramatic, rocky coast that’s raked by churning currents. Warm, cold, rich and murky water collide to create ""shark central"", with enough food to sustain the biggest. Giant sharks like great whites, tiger sharks, bull sharks, ragged tooth sharks, and whale sharks all reign supreme in these waters.";2018;PG;44;['documentation'];['US'];Unknown;Unknown
