;title;description;release_year;age_certification;genres;production_countries;seasons;imdb_score;imdb_votes
3977;La Línea: Shadow of Narco;Go inside La Línea, the Spanish beach town turned into Europe's drug trafficking hub, and meet the law enforcement officials determined to change that.;2020;TV-MA;['documentation', 'crime'];['ES'];1.0;6.4;394.0
3980;Trial 4;Charged as a teen in the 1993 killing of a Boston cop, Sean K. Ellis fights to prove his innocence while exposing police corruption and systemic racism.;2020;TV-MA;['documentation', 'crime'];['US'];1.0;7.4;2083.0
3986;A Perfect Crime;In April 1991, Detlev Rohwedder, the head of Treuhand, the East German Privatization and Restructuring Agency, was assassinated in Dusseldorf. This documentary details the strange evidence recovered.;2020;Unknown;['documentation', 'crime'];['DE'];1.0;7.3;1394.0
3987;Scams;Kusano has a bright future with his fancy university degree and new job. yet, it is not to be. The blood sucking financial giant which he works at goes broke and leaves him on the pavement. When it rains it pours and his father becomes ill and needs care and money. He also has his own debts. Needing cash, he searches for and finds a job rather quickly. The job, however, is illegitimate and involves undesirable activity. What is a man to do?;2019;Unknown;['action', 'crime', 'drama'];['JP'];1.0;6.4;384.0
3990;World's Most Wanted;Heinous criminals have avoided capture despite massive rewards and global investigations. This docuseries profiles some of the world’s most wanted.;2020;TV-14;['documentation', 'crime'];['US'];1.0;7.1;2532.0
3993;The Healing Powers of Dude;Noah, an 11-year-old boy with social anxiety disorder, has to start middle school, he turns to a mutt named Dude, a sarcastic emotional support dog who might need Noah as much as Noah needs him.;2020;TV-G;['family', 'fantasy', 'action', 'comedy', 'drama'];[];1.0;6.4;902.0
4001;Someone Has to Die;The story begins with a young boy being asked by his parents to return to Spain to meet his fiance. He returns accompanied by Lazaro, a mysterious ballet dancer.;2020;TV-MA;['drama', 'thriller', 'crime'];['ES', 'MX'];1.0;6.3;4841.0
4002;Crime Diaries: Night Out;After going to a Halloween party, college student Luis Andrés Colmenares is found dead. Was it an accident or murder? Inspired by true events.;2019;TV-MA;['crime'];['MX'];1.0;7.3;865.0
4003;All For Love;A penniless country boy goes in search of his runaway sister in Bogotá, where he falls for an aspiring singer, but gets tangled up in organized crime.;2020;Unknown;[];['CO'];1.0;Unknown;Unknown
4005;The Prince of Tennis;A tennis whiz beats the odds to excel on the court while juggling school and inspiring teammates. Based on the hit manga series by Takeshi Konomi.;2019;TV-PG;['drama', 'sport'];['CN'];1.0;7.6;216.0
4012;Chief of Staff;As a chief of staff in the National Assembly, Jang Tae-jun influences power behind the scenes while pursuing his own ambitions to rise to the top.;2019;Unknown;['drama', 'war'];['KR'];2.0;Unknown;Unknown
4015;Nadiya's Time to Eat;Nadiya Hussain’s Time To Eat promises recipes that can be cooked in a hurry but have buckets of flavour.;2019;Unknown;['reality'];['GB'];1.0;Unknown;Unknown
4017;Hong Kong West Side Stories;The intimate lives of young men and women from Hong Kong are linked by loosely connected stories about love, lust, separation and deceit.;2019;TV-MA;['drama', 'comedy'];['HK'];2.0;5.7;6.0
