;title;description;release_year;age_certification;runtime;genres;production_countries;imdb_score;imdb_votes
3013;Tony Hawk: Until the Wheels Fall Off;A wide-ranging, definitive look at Hawk’s life and iconic career, and his relationship with the sport with which he’s been synonymous for decades, featuring unprecedented access, never-before-seen footage, and interviews with Hawk and prominent figures in the sport including Stacy Peralta, Rodney Mullen, Mike McGill, Lance Mountain, Steve Caballero, Neil Blender, Andy MacDonald, Duane Peters, Sean Mortimer, and Christian Hosoi.;2022;R;135;['documentation', 'sport'];['US'];8.1;2268.0
3014;Hitman's Wife's Bodyguard;The world’s most lethal odd couple – bodyguard Michael Bryce and hitman Darius Kincaid – are back on another life-threatening mission. Still unlicensed and under scrutiny, Bryce is forced into action by Darius's even more volatile wife, the infamous international con artist Sonia Kincaid. As Bryce is driven over the edge by his two most dangerous protectees, the trio get in over their heads in a global plot and soon find that they are all that stand between Europe and a vengeful and powerful madman.;2021;R;117;['thriller', 'comedy', 'action', 'crime'];['US'];6.1;83798.0
3015;F9;Dominic Toretto and his crew battle the most skilled assassin and high-performance driver they've ever encountered: his forsaken brother.;2021;PG-13;155;['crime', 'thriller', 'action'];['US'];5.2;122653.0
3016;Kimi;A tech worker with agoraphobia discovers recorded evidence of a violent crime but is met with resistance when she tries to report it. Seeking justice, she must do the thing she fears the most: she must leave her apartment.;2022;R;89;['thriller', 'crime', 'drama'];['US'];6.3;24267.0
3017;Antlers;A small-town Oregon teacher and her brother, the local sheriff, discover a young student is harbouring a dangerous secret that could have frightening consequences.;2021;R;99;['drama', 'horror', 'action', 'crime', 'fantasy', 'thriller'];['US', 'CA', 'MX'];5.9;32791.0
3018;In the Heights;The story of Usnavi, a bodega owner who has mixed feelings about closing his store and retiring to the Dominican Republic or staying in Washington Heights.;2021;PG-13;143;['drama', 'music', 'romance'];['US'];7.3;44679.0
3019;Moonshot;This romantic comedy with a twist follows two college students as they join forces in order to be reunited with their significant others, embarking on a lively journey that takes them wildly off course.;2022;PG-13;104;['scifi', 'comedy', 'romance'];['US'];5.5;3841.0
3022;Jerrod Carmichael: Rothaniel;Features Jerrod Carmichael in a standup comedy show at the legendary Blue Note Jazz Club in New York City.;2022;Unknown;55;['comedy'];['US'];Unknown;Unknown
3023;Malignant;Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities with a mysterious tie to her past.;2021;R;111;['thriller', 'crime', 'horror', 'action', 'drama'];['US'];6.3;75373.0
3024;The Suicide Squad;Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.;2021;R;132;['action', 'comedy', 'scifi', 'fantasy'];['US'];7.2;327144.0
3027;Halloween Kills;The nightmare isn't over as unstoppable killer Michael Myers escapes from Laurie Strode's trap to continue his ritual bloodbath. Injured and taken to the hospital, Laurie fights through the pain as she inspires residents of Haddonfield, to rise up against Myers. Taking matters into their own hands, the Strode women and other survivors form a vigilante mob to hunt down Michael and end his reign of terror once and for all.;2021;R;95;['horror', 'thriller', 'crime'];['US', 'GB'];5.5;71459.0
3032;Spring Awakening: Those You've Known;"Fifteen years after the smash, Tony-winning Broadway run of ""Spring Awakening,"" the original cast and creative team reunite for a spectacular, one-night only reunion concert to benefit The Actors Fund. Chronicling their whirlwind journey back to the stage, this documentary follows the players as they reconnect and rediscover the beauty and timelessness of the hit musical.";2022;R;83;['documentation'];['US'];Unknown;Unknown
3034;Zack Snyder's Justice League;Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.;2021;R;242;['fantasy', 'scifi', 'action', 'drama'];['US'];8.0;376734.0
3036;Shiva Baby;College student Danielle must cover her tracks when she unexpectedly runs into her sugar daddy at a shiva - with her parents, ex-girlfriend and family friends also in attendance.;2021;Unknown;78;['drama', 'comedy'];['US'];7.1;18498.0
3037;Godzilla vs. Kong;In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.;2021;PG-13;113;['scifi', 'action', 'fantasy', 'thriller'];['US'];6.3;197394.0
3039;Language Lessons;A Spanish teacher and her student develop an unexpected friendship.;2021;R;91;['comedy', 'drama'];['US'];7.1;1563.0
3041;Ron's Gone Wrong;In a world where walking, talking, digitally connected bots have become children's best friends, an 11-year-old finds that his robot buddy doesn't quite work the same as the others do.;2021;PG;107;['scifi', 'animation', 'comedy', 'family'];['US', 'GB'];7.0;29944.0
3042;No Sudden Move;A group of criminals are brought together under mysterious circumstances and have to work together to uncover what's really going on when their simple job goes completely sideways.;2021;R;115;['drama', 'crime', 'thriller'];['US'];6.4;31919.0
3043;Judas and the Black Messiah;Bill O'Neal infiltrates the Black Panthers on the orders of FBI Agent Mitchell and J. Edgar Hoover. As Black Panther Chairman Fred Hampton ascends—falling for a fellow revolutionary en route—a battle wages for O’Neal’s soul.;2021;R;126;['drama', 'history'];['CA', 'US'];7.5;70441.0
3044;The Fallout;In the wake of a school tragedy, Vada, Mia and Quinton form a unique and dynamic bond as they navigate the never linear, often confusing journey to heal in a world that feels forever changed.;2022;R;96;['drama'];['US'];7.0;12813.0
3045;The Many Saints of Newark;Young Anthony Soprano is growing up in one of the most tumultuous eras in Newark, N.J., history, becoming a man just as rival gangsters start to rise up and challenge the all-powerful DiMeo crime family. Caught up in the changing times is the uncle he idolizes, Dickie Moltisanti, whose influence over his nephew will help shape the impressionable teenager into the all-powerful mob boss, Tony Soprano.;2021;R;115;['drama', 'crime'];['US'];6.3;49259.0
3046;Reminiscence;Nicolas Bannister, a rugged and solitary veteran living in a near-future Miami flooded by rising seas, is an expert in a dangerous occupation: he offers clients the chance to relive any memory they desire. His life changes when he meets a mysterious young woman named Mae. What begins as a simple matter of lost and found becomes a passionate love affair. But when a different client's memories implicate Mae in a series of violent crimes, Bannister must delve through the dark world of the past to uncover the truth about the woman he fell for.;2021;PG-13;148;['scifi', 'romance', 'thriller'];['US'];5.8;51244.0
3050;Catwoman: Hunted;Catwoman's attempt to steal a priceless jewel puts her squarely in the crosshairs of both a powerful consortium of villains and the ever-resourceful Interpol, not to mention Batwoman.;2022;PG-13;78;['crime', 'animation', 'action', 'scifi'];['US'];5.5;1514.0
3051;Mortal Kombat;Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.;2021;R;110;['fantasy', 'scifi', 'thriller', 'action'];['US'];6.1;165743.0
3056;The Little Things;"Deputy Sheriff Joe ""Deke"" Deacon joins forces with Sgt. Jim Baxter to search for a serial killer who's terrorizing Los Angeles. As they track the culprit, Baxter is unaware that the investigation is dredging up echoes of Deke's past, uncovering disturbing secrets that could threaten more than his case.";2021;R;128;['thriller', 'crime', 'drama'];['US'];6.3;93975.0
3057;Cry Macho;Mike Milo, a one-time rodeo star and washed-up horse breeder, takes a job from an ex-boss to bring the man's young son home from Mexico.;2021;PG-13;104;['western', 'drama', 'thriller'];['US'];5.7;24048.0
3058;Batman: The Long Halloween, Part One;Following a brutal series of murders taking place on Halloween, Thanksgiving, and Christmas, Gotham City's young vigilante known as the Batman sets out to pursue the mysterious serial killer alongside police officer James Gordon and district attorney Harvey Dent.;2021;PG-13;85;['thriller', 'action', 'animation', 'crime', 'horror', 'scifi'];['US'];7.2;14930.0
3059;Bill Maher: #Adulting;Filmed at Miami’s Fillmore Theater, Bill Maher’s latest stand-up special sees the acclaimed comedian, host, and satirist take the stage for a hilarious and scathing hour of his signature commentary on the latest hot-button issues.;2022;R;67;['comedy'];['US'];Unknown;Unknown
3060;The Conjuring: The Devil Made Me Do It;Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.;2021;R;111;['thriller', 'horror'];['US'];6.3;106473.0
3061;Harry Potter 20th Anniversary: Return to Hogwarts;An enchanting making-of story told through all-new in-depth interviews and cast conversations, inviting fans on a magical first-person journey through one of the most beloved film franchises of all time.;2022;PG-13;103;['documentation', 'family'];['US', 'GB'];8.0;37637.0
3063;Space Jam: A New Legacy;When LeBron and his young son Dom are trapped in a digital space by a rogue A.I., LeBron must get them home safe by leading Bugs, Lola Bunny and the whole gang of notoriously undisciplined Looney Tunes to victory over the A.I.'s digitized champions on the court. It's Tunes versus Goons in the highest-stakes challenge of his life.;2021;PG;115;['comedy', 'animation', 'crime', 'war', 'scifi', 'action', 'family', 'fantasy', 'sport'];['US'];4.4;68146.0
3064;Those Who Wish Me Dead;A young boy finds himself pursued by two assassins in the Montana wilderness, with a survival expert determined to protect him, and a forest fire threatening to consume them all.;2021;R;100;['thriller', 'drama', 'crime', 'western', 'action'];['CA', 'US'];6.0;57185.0
3067;Injustice;When Lois Lane is killed, an unhinged Superman decides to take control of the Earth. Determined to stop him, Batman creates a team of freedom-fighting heroes. But when superheroes go to war, can the world survive?;2021;R;78;['fantasy', 'drama', 'scifi', 'animation', 'action'];['US'];6.3;10921.0
3068;Fantastic Beasts: A Natural History;Stephen Fry embarks on a journey to discover the stories behind some of the world's most fantastic beasts that have inspired myths and legends in history, story-telling and film.;2022;Unknown;58;['documentation'];['GB'];6.6;303.0
3071;Brothers by Blood;Peter and Michael, raised on the streets of Philadelphia, are the children of Irish mob members, forever linked by the crimes of their fathers. 30 years later, Michael now runs the criminal organization and lusts for more power, his dangerous antics frequently held in check by his cautious cousin Peter. Haunted by the death of his sister, whose passing destroyed both his parents, Peter is caught between the dreams of childhood and the realities of his life as an enforcer. His only reprieve is a local boxing gym, a sanctuary that is quickly threatened as Michael’s desire for control escalates.;2021;R;90;['crime', 'action', 'drama'];['US', 'BE', 'FR'];4.9;1927.0
3073;Street Gang: How We Got to Sesame Street;Take a stroll down Sesame Street and witness the birth of the most influential children's show in television history. From the iconic furry characters to the classic songs you know by heart, learn how a gang of visionary creators changed the world.;2021;PG;107;['documentation', 'family', 'history'];['US'];8.1;930.0
3075;If I Can't Have Love, I Want Power;Featuring music from her fourth studio album produced by Trent Reznor and Atticus Ross, this evocative film experience stars Halsey as the young and pregnant Queen Lila, who wrestles with the manipulative chokehold of love.;2021;R;53;['fantasy', 'music', 'horror', 'drama'];['US'];6.6;1579.0
3076;8-Bit Christmas;In 1980s Chicago, a 10-year-old sets out on a quest to get the Christmas gift of his generation: the latest and greatest video-game system.;2021;PG;97;['comedy', 'family', 'fantasy'];['US'];6.7;15561.0
3078;Voyagers;With the future of the human race at stake, a group of young men and women -- bred for intelligence and obedience -- embark on an expedition to colonize a distant planet. When they uncover disturbing secrets about the mission, they defy their training and begin to explore their most primitive natures. As life on the ship descends into chaos, they soon become consumed by fear, lust and an insatiable hunger for power.;2021;PG-13;107;['thriller', 'scifi'];['US'];5.4;19348.0
3079;Locked Down;During a COVID-19 lockdown, sparring couple Linda and Paxton call a truce to attempt a high-risk jewellery heist at one of the world's most exclusive department stores, Harrods.;2021;R;118;['comedy', 'drama', 'romance', 'crime', 'documentation'];['GB', 'US'];5.2;11558.0
3080;Land;Edee, in the aftermath of an unfathomable event, finds herself unable to stay connected to the world she once knew and in the face of that uncertainty, retreats to the magnificent, but unforgiving, wilds of the Rockies. After a local hunter brings her back from the brink of death, she must find a way to live again.;2021;PG-13;89;['drama', 'documentation'];['US'];6.6;9473.0
3081;Life of Crime: 1984-2020;An intimate documentary that looks at the vicious cycles of drug addiction and street crime in one of the roughest parts of New Jersey.;2021;R;121;['documentation', 'crime'];['US'];8.4;1484.0
3082;When We Were Bullies;"A mind-boggling ""coincidence"" leads the filmmaker to track down his fifth grade class – and fifth grade teacher – to examine their memory of and complicity in a bullying incident fifty years ago.";2021;Unknown;36;['documentation'];['DE', 'US'];6.7;Unknown
3083;Jagged;Documentary centers on the life and work of Canadian singer-songwriter Alanis Morissette while making her breakout album 'Jagged Little Pill';2021;Unknown;99;['documentation', 'music'];['US'];7.2;1401.0
3084;Friends: The Reunion;The cast of Friends reunites for a once-in-a-lifetime celebration of the hit series, an unforgettable evening filled with iconic memories, uncontrollable laughter, happy tears, and special guests.;2021;Unknown;104;['documentation', 'comedy', 'history', 'romance'];['US'];8.0;57553.0
3086;Oslo;The true story of negotiations between implacable enemies — the secret back-channel talks, unlikely friendships and quiet heroics of a small but committed group of Israelis, Palestinians and one Norwegian couple that led to the 1993 Oslo Peace Accords.;2021;Unknown;118;['drama', 'history', 'thriller'];['US'];6.6;4404.0
3088;Batman: The Long Halloween, Part Two;As Gotham City's young vigilante, the Batman, struggles to pursue a brutal serial killer, district attorney Harvey Dent gets caught in a feud involving the criminal family of the Falcones.;2021;R;87;['crime', 'animation', 'action', 'horror', 'scifi'];['US'];7.1;12033.0
3092;Batman: Soul of the Dragon;Bruce Wayne faces a deadly menace from his past, with the help of three former classmates: world-renowned martial artists Richard Dragon, Ben Turner and Lady Shiva.;2021;R;83;['fantasy', 'animation', 'action', 'crime'];['US'];6.0;5640.0
3093;Woodstock 99: Peace, Love, and Rage;Explore Woodstock 99, a three-day music festival promoted to echo unity and counterculture idealism of the original 1969 concert but instead devolved into riots, looting and sexual assaults.;2021;R;110;['music', 'documentation'];['US'];7.1;5210.0
3097;Limbo;An offbeat observation of refugees waiting to be granted asylum on a fictional remote Scottish island. It focuses on Omar, a young Syrian musician who is burdened by the weight of his grandfather’s oud, which he has carried all the way from his homeland.;2021;R;104;['drama', 'comedy'];['GB'];7.2;3252.0
3098;Four Hours at the Capitol;The documentary is an immersive chronicle of the insurrection at the U.S. Capitol on January 6, 2021, when thousands of American citizens from across the country gathered in Washington D.C. to protest the results of the 2020 presidential election, many with the intent of disrupting the certification of Joe Biden’s presidency.;2021;R;92;['documentation'];['GB', 'US'];7.3;2773.0
3101;In the Same Breath;This documentary recounts the experiences of people on the ground in the earliest days of the novel coronavirus and the way two countries dealt with its initial spread, from the first days of the outbreak in Wuhan to its rampage across the United States.;2021;Unknown;98;['documentation'];['CN', 'US'];7.6;1494.0
3105;Tom & Jerry;Tom the cat and Jerry the mouse get kicked out of their home and relocate to a fancy New York hotel, where a scrappy employee named Kayla will lose her job if she can’t evict Jerry before a high-class wedding at the hotel. Her solution? Hiring Tom to get rid of the pesky mouse.;2021;PG;101;['comedy', 'family', 'fantasy', 'action', 'animation'];['US'];5.2;33633.0
3107;Justice Society: World War II;When the Flash finds himself dropped into the middle of World War II, he joins forces with Wonder Woman and her top-secret team known as the Justice Society of America.;2021;PG-13;84;['scifi', 'animation', 'action', 'fantasy'];['US'];6.4;6858.0
3108;El Planeta;Amidst the devastation of post-crisis Spain, mother and daughter bluff and grift to keep up the lifestyle they think they deserve, bonding over common tragedy and an impending eviction.;2021;Unknown;81;['drama', 'comedy'];['ES', 'US', 'AR'];6.4;508.0
