;title;description;release_year;age_certification;genres;production_countries;seasons;imdb_score;imdb_votes
1104;Disney Junior Music Nursery Rhymes;Nursery rhymes with a magical Disney Junior makeover! Mickey, Minnie, Goofy, Donald, and Daisy are joined by favorite characters from Puppy Dog Pals, Sofia the First, Doc McStuffins, Goldie & Bear and The Lion Guard!;2017;TV-Y;['animation', 'family', 'music'];['US'];2.0;6.4;22.0
1105;Scuba Sam's World;Take a deep dive and learn all about the beloved sea animals in our oceans!;2018;Unknown;[];['US'];1.0;Unknown;Unknown
1106;Coop & Cami Ask The World;A pair of middle-school siblings make nearly all of their decisions by crowdsourcing the opinions of their millions of online followers.;2018;TV-G;['family', 'comedy'];['US'];2.0;5.6;504.0
1107;Rocky Mountain Animal Rescue;The extraordinary staff at the Humane Society of the Pikes Peak Region risk their lives and give their hearts to save all animals big and small.;2018;Unknown;['documentation'];['US'];1.0;8.4;29.0
1110;Disney's Fairy Tale Weddings;"A behind-the-scenes look at weddings and one-of-a-kind engagements that take place at Disney Destinations around the globe, including Walt Disney World, Disneyland and Disney Cruise Lines. Hosted by Ben Higgins and Lauren Bushnell. Included: fashion; products; entertainment; and décor. Also: a surprise musical performance by Pentatonix.";2017;TV-PG;['documentation', 'reality'];['US'];2.0;6.5;168.0
1117;Billy Dilley’s Super-Duper Subterranean Summer;The adventures of science-obsessed Billy Dilley and his lab partners Zeke and Marsha;2017;TV-Y7;['comedy', 'fantasy', 'scifi', 'animation', 'family'];['US'];1.0;3.1;488.0
1118;Alaska's Grizzly Gauntlet;Survival expert Les Stroud explores the world of Alaska's most formidable wildlife and uncovers the secrets to their survival in America's final frontier.;2018;TV-PG;['documentation'];['US'];1.0;6.3;47.0
1119;Best Job Ever;National Geographic explorers have the best jobs ever! Find out what it's like to explore black holes, climb mountains, and go deep-sea diving for a living.;2018;TV-G;['documentation'];['US'];1.0;Unknown;Unknown
1123;Love & Vets;Whether it's emergency surgery on a dog that's eaten an engagement ring, a middle-of-the-night house call, or playing an owner's recorded goodnight message for one of their boarded pets, doctors Will Draper and Fran Tyler offer full-service treatment for the domestic pets and owners who call Metro Atlanta home. But running a successful vet practice while juggling the demands of a busy family life-which includes their four teens, four dogs, two cats and grandma down the street-can lead to some hairy situations. Add on top of that two popular restaurants, and life can really get hopping.;2017;TV-PG;['documentation'];['US'];1.0;Unknown;Unknown
1124;Tangled: Short Cuts;Unknown;2017;Unknown;['animation', 'comedy', 'family', 'fantasy'];['US'];1.0;7.4;14.0
1125;Weirdest, Bestest, Truest;Siblings Kirby and Charlie share strange discoveries and fun facts from the world of Weird But True! And Charlie gives a behind-the-scenes look at what it takes to create these action-packed episodes.;2018;TV-G;[];['US'];1.0;Unknown;Unknown
1126;Destination World;Exploring the natural extremes of the continents.;2018;Unknown;['documentation'];['US'];1.0;Unknown;Unknown
1127;Howie Mandel's Animals Doing Things;Unknown;2018;TV-14;['comedy'];['US'];2.0;3.6;64.0
1129;Mexico Untamed;Each of Mexico Untamed distinct colorful landscapes is characterised by the animals who live there. Charismatic travelers roam the oceans, forests and deserts, revealing drama and surprising behaviors. Predator and prey fight age-old battles for survival. Males and females of the most iconic species go to extreme measures to ensure the safe arrival of a new generation.;2018;Unknown;['documentation'];['NZ'];1.0;7.3;22.0
1130;Awesome Animals;The National Geographic Kids channel is an exciting place to discover the very best of YouTube. Check back each day for a new video about awesome animals, cool science, funny pets, and more. We've also got curated playlists made just for curious kids like you to explore, laugh, and learn. So pick a topic you love and start watching today! Catch your favorite Nat Geo Kids videos during WILD KiDS on Saturday mornings on Nat Geo WILD. Check local listings for times.;2017;Unknown;[];['US'];1.0;Unknown;Unknown
1132;Sam's Zookeeper Challenge;"Find out if Sam has what it takes to hang with animals in ""Zookeeper's Challenge."" Watch as Sam is challenged to feed, clean, and care for Kinkajous, Giraffes, Penguins, and more!";2018;Unknown;[];['US'];1.0;Unknown;Unknown
1133;Fearless Adventures with Jack Randall;Jack does crazy things with wild animals to help protect and study them. Really crazy. And maybe dangerous. But Jack is a TRAINED EXPERT. DO NOT DO WHAT JACK DOES. Seriously. Approaching and handling wild animals can be dangerous. REALLY. Just don’t do it!;2018;Unknown;[];['US'];1.0;Unknown;Unknown
1138;What Sam Sees;Jump into the water with scuba diver Sam and discover the amazing world of underwater animals. The Sam Cam gives you a secret look at her ocean adventures, which she goes on with aquarium experts whose exclusive interviews add more fun to the journey.;2018;TV-G;[];['US'];1.0;Unknown;Unknown
1142;The Mandalorian;After the fall of the Galactic Empire, lawlessness has spread throughout the galaxy. A lone gunfighter makes his way through the outer reaches, earning his keep as a bounty hunter.;2019;TV-14;['scifi', 'action', 'fantasy'];['US'];3.0;8.7;425001.0
