;title;description;release_year;age_certification;runtime;genres;production_countries;imdb_score;imdb_votes;platform
12940;E-Team;E-Team is driven by the high-stakes investigative work of four intrepid human rights workers, offering a rare look at their lives at home and their dramatic work in the field.;2014;Unknown;88;['documentation', 'war'];['US'];7.1;873.0;Netflix
10723;I, Robot;In 2035, where robots are commonplace and abide by the three laws of robotics, a technophobic cop investigates an apparent suicide. Suspecting that a robot may be responsible for the death, his investigation leads him to believe that humanity may be in danger.;2004;PG-13;115;['scifi', 'action', 'thriller', 'drama', 'crime'];['DE', 'US'];7.1;529421.0;HBO Max
10277;The Chosen;The Chosen follows the story of two teenage boys determined to remain friends despite the deep differences between their two families. Set in New York during the 1940s, this provocative film follows the son of an orthodox rabbi and the son of a secular father, raised to question everything around him, including his religion. A moving coming of age story.;1981;PG;105;['drama'];['US'];7.1;2051.0;HBO Max
3914;Orchestra of Exiles;The suspenseful chronicle of how the prodigious Polish violinist Bronislaw Huberman helped save Europe’s premiere Jewish musicians from obliteration by the Nazis during World War II. In three years, he transformed from a world renowned violinist to a humanitarian racing against time.;2012;Unknown;85;['documentation'];['US', 'IL'];7.1;155.0;Amazon Prime
3921;Alonzo Bodden: Who's Paying Attention;The hilarious comedian familiar to audiences around the world from his many radio, television and movie appearances tackles his favorite related topics: the decline of civilization and the rise of pop culture. From declining home values to the swine flu, Alonzo Bodden's paying very funny attention to it.;2011;Unknown;61;['comedy'];['US'];7.1;155.0;Amazon Prime
10307;My Brother's Wedding;A man who despises his upwardly mobile lawyer brother reluctantly agrees to be best man at his wedding.;1983;Unknown;81;['drama'];['US'];7.1;953.0;HBO Max
3955;The Black Tulip;The Mansouri family opens up a new restaurant after the fall of the Taliban in Kabul, Afghanistan only to be subsequently targeted by factional Taliban elements.;2012;Unknown;116;['drama', 'family'];['AF', 'US'];7.1;110.0;Amazon Prime
3849;Something from Nothing: The Art of Rap;SOMETHING FROM NOTHING: THE ART OF RAP is a feature length performance documentary about the runaway juggernaut that is Rap music. At the wheel of this unstoppable beast is the film's director and interviewer Ice-T. Taking us on a deeply personal journey Ice-T uncovers how this music of the street has grown to dominate the world. Along the way Ice-T meets a whole spectrum of Hip-Hop talent, from founders, to new faces, to the global superstars like Eminem, Dr Dre, Snoop Dogg and Kanye West. He exposes the roots and history of Rap and then, through meeting many of its most famous protagonists, studies the living mechanism of the music to reveal 'The Art Of Rap'. This extraordinary film features unique performances from the entire cast, without resorting to archive material, to build a fresh and surprising take on the phenomenon that is Rap.;2012;R;106;['documentation', 'music'];['US'];7.1;3476.0;Amazon Prime
3782;Lore;Lore leads her four younger siblings across a war-torn Germany in 1945. Amidst the chaos she encounters a mysterious refugee who shatters her fragile reality with hatred and desire.;2012;Unknown;109;['thriller', 'drama', 'history', 'romance', 'war', 'european'];['AU', 'DE', 'GB'];7.1;15104.0;Amazon Prime
6287;Actress Wanted;A lonely janitor hires a struggling actress to reenact ten favorite memories of his dead wife.;2018;Unknown;81;['thriller', 'horror', 'drama'];['US', 'VN'];7.1;75.0;Amazon Prime
9665;The Most Dangerous Game;When legendary hunter Bob Rainsford is shipwrecked on the perilous reefs surrounding a mysterious island, he finds himself the guest of the reclusive and eccentric Count Zaroff. While he is very gracious at first, Zaroff eventually forces Rainsford and two other shipwreck survivors, brother and sister Eve and Martin Towbridge, to participate in a sadistic game of cat and mouse in which they are the prey and he is the hunter.;1932;Unknown;63;['thriller', 'horror', 'action'];['US'];7.1;12203.0;HBO Max
12659;Margin Call;A thriller that revolves around the key people at an investment bank over a 24-hour period during the early stages of the financial crisis.;2011;R;107;['thriller', 'drama'];['US'];7.1;128874.0;Netflix
10085;Primary;Primary is a documentary film about the primary elections between John F. Kennedy and Hubert Humphrey in 1960. Primary is the first documentary to use light equipment in order to follow their subjects in a more intimate filmmaking style. This unconventional way of filming created a new look for documentary films where the camera’s lens was right in the middle of what ever drama was occuring.;1960;Unknown;60;['documentation', 'history'];['US'];7.1;1330.0;HBO Max
3757;God Bless America;Fed up with the cruelty and stupidity of American culture, an unlikely duo goes on a killing spree, killing reality TV stars, bigots and others they find repugnant in this black comedy.;2011;R;104;['drama', 'comedy', 'thriller', 'action', 'crime'];['US'];7.1;69771.0;Amazon Prime
3758;Robot & Frank;Curmudgeonly old Frank lives by himself. His routine involves daily visits to his local library, where he has a twinkle in his eye for the librarian. His grown children are concerned about their father’s well-being and buy him a caretaker robot. Initially resistant to the idea, Frank soon appreciates the benefits of robotic support – like nutritious meals and a clean house – and eventually begins to treat his robot like a true companion. With his robot’s assistance, Frank’s passion for his old, unlawful profession is reignited, for better or worse.;2012;PG-13;85;['scifi', 'drama', 'comedy', 'crime'];['US'];7.1;63599.0;Amazon Prime
10159;Moonstruck;No sooner does Italian-American widow Loretta accept a marriage proposal from her doltish boyfriend, Johnny, than she finds herself falling for his younger brother, Ronny. She tries to resist, but Ronny lost his hand in an accident he blames on his brother, and has no scruples about aggressively pursuing her while Johnny is out of the country. As Loretta falls deeper in love, she comes to learn that she's not the only one in her family with a secret romance.;1987;PG-13;102;['comedy', 'drama', 'romance'];['US'];7.1;58417.0;HBO Max
12595;Banyuki;A story of an island country named Horai that was finally about to be integrated under one political administration. Domon DATE, an innocent man confined in a prison island. After 10 years of imprisonment, he kept his sanity by dreaming of retaliating against those who framed him up. He breaks the prison with the help of a man incarcerated in the deepest corner of the prison island. The man identified himself as Saji. His steady road to revenge was obstructed by a woman named Mikoto, the once fiancée of his. Can Domon get his revenge? Who is the man who identified himself as Saji? What are the hidden thoughts of Mikoto?;2009;Unknown;182;['drama', 'action'];['JP'];7.1;17.0;Netflix
10161;Little Shop of Horrors;Seymour Krelborn is a nerdy orphan working at Mushnik's, a flower shop in urban Skid Row. He harbors a crush on fellow co-worker Audrey Fulquard, and is berated by Mr. Mushnik daily. One day Seymour finds a very mysterious unidentified plant which he calls Audrey II. The plant seems to have a craving for blood and soon begins to sing for his supper.;1986;PG-13;94;['horror', 'comedy', 'romance', 'scifi'];['US'];7.1;74212.0;HBO Max
6329;Out on Stage;Out On Stage is the absolutely hilarious and one of a kind, originally produced comedy hosted by Zach Noe Towers! See OUT Magazine's 1 of the 10 comedians to watch in 2018,' the comedian that Sarah Silverman calls,'So, so, so funny' and 17 other top rated Gay and Lesbian stand-up comedians discuss taboo subjects as only they can!;2018;Unknown;82;['comedy'];['US'];7.1;13.0;Amazon Prime
