;title;description;release_year;age_certification;runtime;genres;production_countries;imdb_score;imdb_votes;platform
10332;The Shawshank Redemption;Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.;1994;R;142;['crime', 'drama'];['US'];9.3;2548100.0;HBO Max
11541;Emergency Contact;Can 30-something Roxanna Biltmore handle the matters of her heart concerning her high school crush or will she try something new with Vince Cotton? Watch this woman go from NO emergency contacts to two.;2015;Unknown;54;['comedy'];['US'];9.2;11.0;HBO Max
3604;King B.'s Roost 1-2;Chicago Mafia Hit Man Alex Sims finds himself on the wrong end of the gun in this story about a hit man that gets hit by his own organization.;2008;Unknown;62;['crime'];['US'];9.2;12.0;Amazon Prime
4640;A Promise to My Father;"We re-trace the steps of Holocaust survivor Israel Arbeiter as he returns to Poland and Germany for the final time to look for items buried in 1939 in the basement of his old home in Plock, Poland as the German army advanced. We also travel with ""Izzy"" to Treblinka death camp where his parents and younger brother were murdered and to other camps, most notably Auschwitz-Birkenau, where ""Izzy"" used the motivation of his father's final words to him to stay alive.";2013;Unknown;56;['documentation'];['US'];9.2;8.0;Amazon Prime
1934;Steven Banks: Home Entertainment Center;In this brilliant one-man show, the mild-mannered, thirty-something Steven Banks arrives home after a long day at his dead-end corporate job, still dreaming of being a rock star. Steven receives a message on his machine from his boss, Mr. Buttle, informing him that he never received an urgent speech Steven wrote for the board of directors. Steven must scramble to write a new one, but he has less than an hour to do it. Along the way, he continually procrastinates and distracts himself from the task at hand, playing with toys and various musical instruments, baking cookies, putting on costumes, leafing through an old high school yearbook and performing some hilarious original songs along the way. Meanwhile, he's got to deal with his grumpy landlord Mr. Mescue, his clingy girlfriend Phoebe and even a broken toilet. Will Steven ever finish his speech? Or does fate have something else in mind for him?;1989;Unknown;60;['comedy'];['US'];9.1;228.0;Amazon Prime
5354;Unity: The Latin Tribute to Michael Jackson;This unique musical tribute to the King of Pop features over 40 musicians and artists from around the world uniting on stage to perform Latin-infused arrangements of 10 Michael Jackson classic songs.;2015;Unknown;54;['music'];['US'];9.0;9.0;Amazon Prime
10593;The Dark Knight;Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.;2008;PG-13;152;['thriller', 'action', 'crime', 'drama'];['GB', 'US'];9.0;2555504.0;HBO Max
11763;Euphoria: Trouble Don't Last Always;After changing her mind to run away with Jules at the train station and relapsing, Rue celebrates Christmas.;2020;R;57;['drama'];['US'];9.0;Unknown;HBO Max
12138;Juan Luis Guerra 4.40: Entre Mar y Palmeras;The renowned Dominican composer, musician, producer, and singer Juan Luis Guerra offers a historic concert from the beautiful and lush beaches of Miches, located in the eastern region of the Dominican Republic.;2021;PG;70;['music'];['DO'];9.0;18.0;HBO Max
10709;The Lord of the Rings: The Return of the King;Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.;2003;PG-13;201;['fantasy', 'action', 'drama'];['NZ', 'US'];9.0;1776725.0;HBO Max
4720;Florence Foster Jenkins;The story of Florence Foster Jenkins, a New York heiress, who dreamed of becoming an opera singer, despite having a terrible singing voice.;2016;PG-13;110;['drama', 'crime', 'music', 'comedy'];['US', 'GB'];8.9;9.0;Amazon Prime
7159;The Friendliest Town;The first black police chief of a small racially divided town lowered crime with community style policing. But after he was abruptly fired, the battle over why he was let go raised the consciousness of the town's black population;2019;PG-13;77;['documentation'];['US'];8.9;15.0;Amazon Prime
10591;The Lord of the Rings: The Fellowship of the Ring;Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.;2001;PG-13;179;['fantasy', 'action', 'drama'];['NZ', 'US'];8.8;1798012.0;HBO Max
9587;ASSEMBLED: The Making of Hawkeye;Join the likes of Jeremy Renner, Hailee Steinfeld, Florence Pugh, and Vincent D’Onofrio as they reveal how Marvel Studios’ “Hawkeye” was conceived and created. Witness firsthand what it took to pull off the show’s pulse-pounding action set pieces, and discover how iconic characters from the pages of Marvel Comics such as Kate Bishop were adapted and brought to life for the six-episode series.;2022;PG-13;59;['documentation'];['US'];8.8;Unknown;Disney+
10603;Inception;"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.";2010;PG-13;148;['scifi', 'music', 'thriller', 'action'];['GB', 'US'];8.8;2268288.0;HBO Max
10478;Dave Chappelle: Killin' Them Softly;Dave Chappelle returns for a stand-up to D.C. and riffs on politics, police, race relations, drugs, Sesame Street and more.;2000;Unknown;57;['comedy', 'documentation'];['US'];8.8;9877.0;HBO Max
10665;The Lord of the Rings: The Two Towers;Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.;2002;PG-13;223;['fantasy', 'action', 'drama'];['NZ', 'US'];8.8;1604677.0;HBO Max
7537;Defend, Conserve, Protect;Narrated by Dan Aykroyd, Defend, Conserve, Protect, pits the marine conservation group, Sea Shepherd, against the Japanese whaling fleet, in an epic battle to defend the majestic Minke whales.;2019;Unknown;74;['documentation', 'drama'];['AU', 'CA', 'GB'];8.8;19.0;Amazon Prime
12254;Forrest Gump;A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.;1994;PG-13;142;['drama', 'romance'];['US'];8.8;2021343.0;Netflix
12080;Euphoria: F*ck Anyone Who’s Not A Sea Blob;Over the Christmas holiday, Jules reflects on the year.;2021;R;55;['drama'];['US'];8.8;Unknown;HBO Max
5372;Videola;A family struggles to keep their Video store afloat as hints of illegal activity begin to surround the business.;2016;Unknown;60;['drama'];['US'];8.8;14.0;Amazon Prime
12353;Inception;"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.";2010;PG-13;148;['action', 'scifi', 'music', 'thriller'];['US', 'GB'];8.8;2294231.0;Netflix
12204;GoodFellas;The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.;1990;R;145;['drama', 'crime'];['US'];8.7;1131681.0;Netflix
10474;George Carlin: Jammin' in New York;"When George Carlin is asked which HBO concert is his favorite, his answer is always, ""Jammin’ In New York."" The show, taped at the Paramount Theater in Madison Square Garden and winner of the 1992 CableACE Award, is a perfect blend of biting social commentary and more gently-observed observational pieces.";1992;Unknown;59;['comedy', 'documentation'];['US'];8.7;3581.0;HBO Max
7813;Sardar Udham;A young Sardar Udham Singh left deeply scarred by the Jallianwala Bagh massacre, escaped into the mountains of Afghanistan, reaching London in 1933-34. Carrying an unhealed wound for 21 years, the revolutionary assassinated Michael O’Dwyer on 13th March, 1940, the man at the helm of affairs in Punjab, April 1919 to avenge the lost lives of his beloved brethren.;2021;R;163;['drama', 'history', 'crime'];['IN', 'RU', 'GB'];8.7;38921.0;Amazon Prime
3826;Any Day Now;In the late 1970s, when a mentally handicapped teenager is abandoned, a gay couple takes him in and becomes the family he's never had. But once the unconventional living arrangement is discovered by authorities, the men must fight the legal system to adopt the child.;2012;R;97;['drama', 'documentation'];['US'];8.7;11.0;Amazon Prime
11077;The Music in Me: The Leopards Take Manhattan - The Little Band That Roared;Prepare for a fun-filled, emotional journey with 52 young musicians from a variety of backgrounds! This delightful film--the final installment in HBO's acclaimed 'The Music in Me' specials--profiles the young members of the Louisville Leopard Percussionists as they embark on a trip from their Kentucky home to the Big Apple.;2008;Unknown;30;['documentation'];['US'];8.7;29.0;HBO Max
6599;Zana;Haunted by her long-suppressed past and pressured by family to seek treatment from mystical healers for her infertility, a Kosovar woman struggles to reconcile the expectations of motherhood with a legacy of wartime brutality.;2019;Unknown;97;['horror', 'drama', 'thriller'];['US', 'AL', 'GE', 'XK'];8.7;4633.0;Amazon Prime
12489;A Lion in the House;Five families struggle with the ups and downs of cancer treatment over the course of six years.;2006;Unknown;225;['documentation'];['US'];8.7;324.0;Netflix
8605;The Empire Strikes Back;The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.;1980;PG;124;['scifi', 'action', 'fantasy'];['US'];8.7;1248319.0;Disney+
4081;Bravo! Common Men, Uncommon Valor;Twenty weeks before Khe Sanh, these men were boys, sitting in their mother's kitchens. Then they went to war. Through interviews, film footage, photographs and audio recorded in Vietnam in 1968, fifteen former Marines and Navy Corpsmen tell their tales of battle, fear and survival at the Siege of Khe Sanh, Vietnam, 1968.;2011;Unknown;118;['documentation', 'history', 'war'];['US'];8.7;37.0;Amazon Prime
15294;Bo Burnham: Inside;Stuck in COVID-19 lockdown, US comedian and musician Bo Burnham attempts to stay sane and happy by writing, shooting and performing a one-man comedy special.;2021;R;87;['comedy', 'drama', 'music', 'reality'];['US'];8.7;44074.0;Netflix
11129;Celebrity Habla;See what celebrated Latino actors, newsmakers and a musical legend have to say about being Latino in the U.S. in this sixth installment in the award-winning documentary series.;2009;PG;50;['documentation'];['US'];8.7;9.0;HBO Max
10339;The Matrix;Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.;1999;R;136;['scifi', 'action'];['US'];8.7;1857949.0;HBO Max
5026;Ryan Bingham Live;GRAMMY and Oscar award-winning Americana singer-songwriter Ryan Bingham brings his dynamic live show direct to fans. Filmed at the Whitewater Amphitheater on August 6, 2016.;2016;PG-13;111;['music'];['US'];8.7;16.0;Amazon Prime
3268;A Class Apart: A Mexican American Civil Rights Story;Built around the landmark 1954 legal case Hernandez v. Texas, the film interweaves the stories of its central characters with a broader story of the civil rights movement. It also brings to life the heroic post-World War II struggle of Mexican Americans fighting to dismantle the discrimination targeted against them.;2009;Unknown;60;['documentation'];['US'];8.7;32.0;Amazon Prime
10155;GoodFellas;The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.;1990;R;146;['drama', 'crime'];['US'];8.7;1113695.0;HBO Max
9833;One Flew Over the Cuckoo's Nest;While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy, inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildred Ratched.;1975;R;133;['drama'];['US'];8.7;981994.0;HBO Max
8086;Life Ain't Like the Movies;A 16-year-old quirky black teen deals with love, death, bullies, and social awkwardness, as he goes through high school.;2021;Unknown;85;['drama'];['US'];8.6;397.0;Amazon Prime
10598;Spirited Away;A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.;2001;PG;125;['fantasy', 'animation', 'family'];['JP'];8.6;731729.0;HBO Max
5807;The Fabulous Allan Carr;"Armed with a limitless Rolodex and a Benedict Canyon enclave with its own disco, Allan Carr threw the Hollywood parties that defined the 1970s. A producer, manager, and marketing genius, Carr built his bombastic reputation amid a series of successes including the mega-hit musical film ""Grease,"" until it all came crashing down after he produced the 1989 Academy Awards, a notorious debacle.";2017;Unknown;90;['documentation'];['US'];8.6;329.0;Amazon Prime
10616;City of God;Buscapé was raised in a very violent environment. Despite the feeling that all odds were against him, he finds out that life can be seen with other eyes...;2002;R;130;['drama', 'european', 'crime'];['BR'];8.6;740950.0;HBO Max
12252;Se7en;"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.";1995;R;127;['crime', 'thriller', 'drama'];['US'];8.6;1606270.0;Netflix
14303;The Art of Incarceration;Narrated by Uncle Jack Charles and seen through the eyes of Indigenous prisoners at Victoria’s Fulham Correctional Centre, this documentary explores how art and culture can empower Australia's First Nations people to transcend their unjust cycles of imprisonment.;2019;Unknown;90;['documentation'];['AU'];8.6;25.0;Netflix
8599;Star Wars;Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.;1977;PG;125;['scifi', 'action', 'fantasy'];['US'];8.6;1321489.0;Disney+
3595;Men of the Deeps;Documentary about a choir of former Cape Breton Island coal miners.;2003;Unknown;52;['documentation'];['CA'];8.6;10.0;Amazon Prime
15770;In Our Mothers' Gardens;In Our Mothers' Gardens celebrates the strength and resiliency of Black women and Black families through the complex, and often times humorous, relationship between mothers and daughters.;2021;Unknown;84;['documentation'];['US'];8.6;132.0;Netflix
10919;We Stand Alone Together: The Men of Easy Company;Over a period of two years, Mark Cowen and his crew travelled to thirty U.S. states and ten European cities, to interview the veterans of Easy Company. The stories told by the veterans themselves, create a history of the Second World War from the point of view of this heroic company of men, made famous in the mini-series Band of Brothers.;2001;PG;78;['documentation', 'war'];['BE', 'US'];8.6;1875.0;HBO Max
14574;Best Wishes, Warmest Regards: A Schitt's Creek Farewell;Interviews with the cast, creators, journalists and celebrity fans, plus behind-the-scenes footage from season six.;2020;Unknown;44;['documentation'];['CA'];8.6;1445.0;Netflix
6066;Cobby: The Other Side of Cute;Cobby's Hobbies was a 1960's children's TV program featuring a chimpanzee getting hmself into all sorts of mischief. For filmmaker Donna McRae, the show was a crucial part of getting through a lonely childhood. McRae seeks people that made the show, Cobby's zoo friends, zoo keepers and the animal rights activists that help her piece together the story of an animal stolen from his natural habitat to work on TV before, being retired into the San Francisco Zoo at age 7. Most primates chimps in entertainment suffered horrifically, becoming research animals or caged in roadside zoos. This documentary examines how we perceive animals in entertainment and how we address their plight now.;2018;Unknown;85;['documentation'];['AU'];8.6;26.0;Amazon Prime
10329;Terminator 2: Judgment Day;Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.;1991;R;156;['thriller', 'scifi', 'action'];['FR', 'US'];8.6;1067733.0;HBO Max
7404;Mambo Man;Desperate to support his family and crops, a Cuban farmer and music promoter gambles everything on a deal that appears too good to be true.;2020;Unknown;82;['drama'];['CU', 'GB'];8.6;80.0;Amazon Prime
10327;Se7en;"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.";1995;R;127;['thriller', 'crime', 'drama'];['US'];8.6;1586065.0;HBO Max
9837;Seven Samurai;A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.;1954;Unknown;207;['drama', 'action'];['JP'];8.6;338570.0;HBO Max
10353;The Green Mile;A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.;1999;R;189;['crime', 'fantasy', 'drama'];['US'];8.6;1256927.0;HBO Max
5;It's a Wonderful Life;A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.;1946;PG;130;['drama', 'family', 'fantasy', 'romance', 'comedy'];['US'];8.6;444243.0;Amazon Prime
5162;Remember Pearl Harbor;Narrated by veteran Hollywood actor Tom Selleck, REMEMBER PEARL HARBOR chronicles the personal stories of veterans and citizens who witnessed the surprise attack by the Japanese on the American Pacific Fleet on December 7, 1941, launching the United States into World War II. Using archival footage and photos and graphics, the documentary shows in detail the bombings on Oahu, along with the fiery explosion of the USS Arizona, the sinking of the USS Oklahoma, and the attacks on Hickam Field, as well as on other parts of the island. REMEMBER PEARL HARBOR documents the 75th anniversary, the tragic events and the courageous acts of those who were in or near Pearl Harbor on that day.;2016;Unknown;81;['war', 'documentation', 'history'];['US'];8.6;22.0;Amazon Prime
11922;Fandango at the Wall;Fandango at the Wall follows Afro Latin Jazz Orchestra founder/conductor Arturo O'Farrill to the remotest regions of Veracruz, Mexico, where he meets and jams with the masters of son jarocho. Son jarocho is 300-year-old folk music rooted in the land that combines African, Indigenous and Spanish traditions. After Arturo's inspiring journey to a place where time seems to stands still, he and his orchestra join the masters of son jarocho at the border between the United States and Mexico for a son jarocho music and dance festival called Fandango Fronterizo (founded by Jorge Francisco Castillo). The festival takes place simultaneously on both sides of the United States/Mexican border transforming this object that divides to one that unites. With a poetic musical approach inspired by the son jarocho tradition, Fandango at the Wall reveals a Mexico seldom depicted, and delves into the current mass human migrations spurred by violence, poverty, and corruption.;2020;Unknown;92;['documentation', 'music'];['MX', 'US'];8.5;99.0;HBO Max
9653;City Lights;In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.;1931;G;87;['romance', 'drama', 'comedy'];['US'];8.5;181367.0;HBO Max
12354;The Departed;To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.;2006;R;151;['drama', 'thriller', 'crime', 'action'];['US'];8.5;1296244.0;Netflix
11094;Beah: A Black Woman Speaks;Beah: A Black Woman Speaks is a 2003 documentary about the life of Academy Award nominated actress Beah Richards. Directed by Lisa Gay Hamilton, it won the Documentary Award at the AFI Los Angeles International Film Festival in 2003.;2003;Unknown;88;['documentation'];['US'];8.5;104.0;HBO Max
12262;Léon: The Professional;"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.";1994;R;111;['crime', 'drama', 'action', 'thriller', 'european'];['US', 'FR'];8.5;1137357.0;Netflix
9659;Modern Times;The Tramp struggles to live in modern industrial society with the help of a young homeless woman.;1936;G;87;['drama', 'comedy', 'romance', 'family'];['US'];8.5;236933.0;HBO Max
2859;The Pearl;"Based on John Steinbeck's classic novel, The Pearl is the story of an impoverished diver whose life is changed forever when he discovers ""the pearl of the world"".";2001;Unknown;115;['drama'];['US'];8.5;44.0;Amazon Prime
14813;Emicida: AmarElo - It's All for Yesterday;Between scenes from his concert in São Paulo's oft-inaccessible Theatro Municipal, rapper and activist Emicida celebrates the rich legacy of Black Brazilian culture.;2020;Unknown;89;['music', 'documentation'];['BR'];8.5;1510.0;Netflix
7233;Mustang Saviors;"Veteran suicide is a national tragedy on an epic scale.A remarkable treatment is proving more powerful than ever imagined: Pairing veterans with wild mustangs taken straight off the range; miraculously turning despair into enduring hope.";2020;Unknown;100;['documentation'];['US'];8.5;14.0;Amazon Prime
1996;Lighthouse Island;When a man visits a remote coastal town to buy a pair of silver shoes for his fiancée, he becomes involved in a dangerous bargain with the shopkeeper. He must retrieve a stolen pearl which has the power to transform the shape of whoever possesses it.;1989;G;24;['european', 'documentation', 'history', 'drama'];['PT'];8.5;30.0;Amazon Prime
13587;Springsteen On Broadway;Springsteen on Broadway is a solo acoustic performance written and performed by Tony Award, Academy Award, and 20-time Grammy Award winner Bruce Springsteen. Based on his worldwide best-selling autobiography 'Born to Run,' Springsteen on Broadway is a unique evening with Bruce, his guitar, a piano, and his very personal stories. In addition, it features a special appearance by Patti Scialfa. Netflix will allow global audiences to see the show critics have been raving about from anywhere they are.;2018;Unknown;153;['music', 'documentation'];['US'];8.5;2199.0;Netflix
8781;The Lion King;A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?;1994;G;89;['drama', 'family', 'animation'];['US'];8.5;1023813.0;Disney+
2194;George Carlin: You Are All Diseased;Legendary comic Carlin comes back to the Beacon theater to angrily rant about airport security, germs, cigars, angels, children and parents, men, names, religion, god, advertising, Bill Jeff and minorities.;1999;Unknown;65;['documentation', 'comedy'];['US'];8.5;4230.0;Amazon Prime
9636;Casablanca;In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.;1942;PG;102;['drama', 'romance', 'war'];['US'];8.5;558849.0;HBO Max
10281;Whoopi Goldberg: Direct from Broadway;Whoopi Goldberg in her original one-woman show;1985;Unknown;75;['comedy', 'documentation'];['US'];8.5;172.0;HBO Max
2694;Dear Zachary: A Letter to a Son About His Father;In 2001, Andrew Bagby, a medical resident, is murdered not long after breaking up with his girlfriend. Soon after, when she announces she's pregnant, one of Andrew's many close friends, Kurt Kuenne, begins this film, a gift to the child.;2008;Unknown;95;['documentation', 'crime', 'drama'];['US'];8.5;36243.0;Amazon Prime
2149;The Usual Suspects;Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.;1995;R;106;['thriller', 'crime', 'drama'];['US'];8.5;1059480.0;Amazon Prime
10719;George Carlin: It's Bad for Ya!;It's Bad For Ya, Carlin's Emmy nominated 14th and final HBO special from March of 2008 features Carlin's noted irreverent and unapologetic observations on topics ranging from death, religion, bureaucracy, patriotism, overprotected children and big business to the pungent examinations of modern language and the decrepit state of the American culture.;2008;R;70;['comedy', 'documentation'];['US'];8.5;5946.0;HBO Max
10423;George Carlin: You Are All Diseased;Legendary comic Carlin comes back to the Beacon theater to angrily rant about airport security, germs, cigars, angels, children and parents, men, names, religion, god, advertising, Bill Jeff and minorities.;1999;Unknown;65;['documentation', 'comedy'];['US'];8.5;4230.0;HBO Max
10602;The Departed;To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.;2006;R;151;['drama', 'thriller', 'action', 'crime'];['US'];8.5;1283897.0;HBO Max
2722;George Carlin: It's Bad for Ya!;It's Bad For Ya, Carlin's Emmy nominated 14th and final HBO special from March of 2008 features Carlin's noted irreverent and unapologetic observations on topics ranging from death, religion, bureaucracy, patriotism, overprotected children and big business to the pungent examinations of modern language and the decrepit state of the American culture.;2008;R;70;['comedy', 'documentation'];['US'];8.5;5946.0;Amazon Prime
9403;Hamilton;Presenting the tale of American founding father Alexander Hamilton, this filmed version of the original Broadway smash hit is the story of America then, told by America now.;2020;PG-13;160;['drama', 'history', 'music'];['US'];8.4;83182.0;Disney+
10481;Larry David: Curb Your Enthusiasm;Mock documentary about Seinfeld writer Larry David featuring contributions from his friends and colleagues. Larry makes a return to stand-up comedy and prepares to film a television special for HBO.  This is the original special that gave birth to the long-running award-winning HBO series.;1999;Unknown;59;['comedy'];['US'];8.4;4995.0;HBO Max
1314;Gentlemen of Fortune;"A kindergarten director Troshkin is a dead ringer for a criminal nicknamed ""Docent"" who stole the priceless...";1971;Unknown;88;['crime', 'drama', 'comedy'];['SU'];8.4;11475.0;Amazon Prime
12660;Django Unchained;With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.;2012;R;165;['western', 'drama'];['US'];8.4;1472668.0;Netflix
9542;The Rescue;A chronicle of the enthralling, against-all-odds story that transfixed the world in 2018: the daring rescue of twelve boys and their coach from deep inside a flooded cave in Northern Thailand.;2021;PG;107;['action', 'thriller', 'drama', 'documentation'];['US'];8.4;9857.0;Disney+
9339;Coco;Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.;2017;PG;109;['animation', 'fantasy', 'comedy', 'drama', 'family', 'music', 'european'];['MX', 'US'];8.4;476499.0;Disney+
10368;Princess Mononoke;Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.;1997;PG-13;134;['fantasy', 'animation', 'action'];['JP'];8.4;376390.0;HBO Max
9938;Scenes from a Marriage;Johan and Marianne are married and seem to have it all. Their happiness, however, is a façade for a troubled relationship, which becomes even rockier when Johan admits that he's having an affair. Before long, the spouses separate and move towards finalizing their divorce, but they make attempts at reconciling. Even as they pursue other relationships, Johan and Marianne realize that they have a significant bond, but also many issues that hinder that connection.;1974;PG;169;['romance', 'drama', 'european'];['SE'];8.4;6515.0;HBO Max
9340;Avengers: Infinity War;As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.;2018;PG-13;150;['scifi', 'action', 'fantasy'];['US'];8.4;1012203.0;Disney+
9404;Avengers: Endgame;After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.;2019;PG-13;181;['scifi', 'fantasy', 'action', 'drama'];['US'];8.4;1016115.0;Disney+
9825;The Shining;Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.;1980;R;144;['thriller', 'horror', 'drama'];['US', 'GB'];8.4;984610.0;HBO Max
11712;Joker;During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.;2019;R;122;['thriller', 'crime', 'drama'];['CA', 'US'];8.4;1190053.0;HBO Max
9353;Newsies;The rousing tale of Jack Kelly, a charismatic newsboy and leader of a ragged band of teenaged 'newsies,' who dreams only of a better life far from the hardship of the streets. When publishing titans raise distribution prices at the newsboys' expense, Jack finds a cause to fight for and rallies newsies from across the city to strike and take a stand for what's right.;2017;PG;134;['drama', 'music'];['US'];8.4;2878.0;Disney+
7316;Once a Marine;A group of Afghanistan veterans struggle to find meaning from their sacrifices in a war that doesn't end when they come back home.';2020;Unknown;65;['documentation', 'war'];['AF', 'US'];8.4;62.0;Amazon Prime
